Ticker,Name,Sector,Industry,IPO Year,Price,Market Cap,Trailing P/E,Forward P/E,PEG Ratio(5yr Expected),Price/Sales(ttm),Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin(TTM),Return on Assets(TTM),Return on Equity(TTM),Revenue(TTM),Revenue Per Share(TTM),Quarterly Revenue Growth(YOY),Gross Profit(TTM),EBITDA,Diluted EPS(TTM),Quarterly Earnings Growth(YOY),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow(TTM),Levered Free Cash Flow(TTM),Beta(3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2011,2.69,219422000.0,nan,-4.18,nan,105.85,nan,67.0,-3.56,0.0,nan,-27.74,nan,2069999.9999999998,0.03,nan,-14960000.0,-39020000.0,-0.756,nan,90150000.0,1.14,15180000.0,nan,5.03,-0.1,-34940000.0,-26960000.0,2.06,78910000.0,nan,nan,nan,nan,nan,0.0
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,3.02,30464000.0,nan,-1.64,nan,nan,0.78,nan,0.04,0.0,0.0,-52.17,-89.67,nan,nan,nan,nan,-25870000.0,-2.746,nan,31830000.0,3.16,nan,1.09,10.93,3.75,-23110000.0,-14200000.0,1.83,7500000.0,nan,nan,nan,nan,nan,0.0
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a,1.84,14711000.0,nan,-1.25,nan,nan,1.25,nan,-0.23,0.0,0.0,-85.68,-190.67,nan,nan,nan,nan,-15480000.0,-3.191,nan,9660000.0,1.41,nan,4.51,2.63,1.52,-13280000.0,-7490000.0,1.81,12750000.0,nan,nan,nan,nan,nan,0.0
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2006,3.6,643644000.0,nan,-4.44,-0.22,nan,2.01,nan,-3.34,0.0,0.0,-15.98,-24.68,nan,nan,nan,-50120000.0,-72750000.0,-0.495,nan,254070000.0,1.83,1630000.0,0.65,19.66,1.79,-55640000.0,-31940000.0,1.63,138720000.0,nan,nan,nan,nan,nan,0.0
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,n/a,33.58,3708000000.0,62.53,29.46,3.66,3.68,3.79,4.26,26.37,6.2,11.85,3.61,6.2,1010000000.0,8.66,nan,579430000.0,162630000.0,0.54,nan,176170000.0,1.59,742590000.0,71.92,1.98,8.86,181220000.0,113070000.0,1.05,110560000.0,nan,nan,nan,nan,nan,0.0
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,1.93,76041000.0,nan,-0.8,0.0,5.43,0.43,-1.68,0.17,0.0,nan,-37.3,-73.2,14010000.0,0.4,nan,3240000.0,-137600000.0,-3.946,nan,136760000.0,3.31,33940000.0,18.62,4.33,4.42,-110260000.0,-59160000.0,0.87,30910000.0,nan,nan,nan,nan,nan,0.0
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components,2017,18.02,291275000.0,30.32,24.01,1.7,3.41,5.27,3.31,25.34,13.13,12.45,7.24,22.73,85380000.0,5.35,nan,34450000.0,11150000.0,0.6,nan,27370000.0,1.7,17620000.0,31.66,2.03,3.46,11120000.0,8630000.0,nan,14200000.0,nan,nan,nan,nan,nan,0.0
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2006,6.76,337224000.0,nan,-2.24,-0.06,0.82,0.57,0.88,5.55,-1.4,12.74,2.69,-1.02,409400000.0,8.66,nan,372120000.0,65170000.0,-0.12,nan,343250000.0,7.14,380370000.0,67.13,4.3,11.94,44600000.0,6390000.0,1.32,48130000.0,nan,nan,nan,nan,nan,0.0
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,n/a,45.71,36171000000.0,20.55,18.45,5.26,4.91,3.1,4.52,13.47,23.91,27.58,6.98,16.44,7360000000.0,9.64,nan,4980000000.0,2470000000.0,2.28,-10.6,4830000000.0,6.31,2960000000.0,25.48,2.63,15.14,1710000000.0,1400000000.0,0.94,766010000.0,0.37,0.81,0.37,0.81,0.68,16.23
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,6.0,166576000.0,nan,-2.37,-0.05,3.86,2.6,2.44,-0.96,-291.22,-256.38,-26.52,-107.64,43160000.0,1.58,nan,33409999.999999996,-109200000.0,-4.61,nan,190640000.0,6.92,130590000.0,204.32,7.03,2.32,-100340000.0,-69360000.0,2.48,27530000.0,nan,nan,nan,nan,nan,0.0
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,n/a,1.16,56069000.0,nan,-4.73,nan,3.33,1.47,2.84,-1.27,-239.55,-242.57,-52.86,-110.0,16810000.0,0.4,nan,5290000.0,-37660000.0,-0.946,nan,9190000.0,0.19,4340000.0,10.92,1.53,0.84,-32979999.999999996,-19180000.0,1.8,47640000.0,nan,nan,nan,nan,nan,0.0
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015,3.49,346643000.0,nan,-3.06,-3.02,6.76,1.58,4.04,-2.61,-198.5,-170.37,-21.11,-49.57,51310000.0,0.51,nan,-38760000.0,-79500000.0,-1.017,nan,168160000.0,1.61,29000000.0,13.2,8.55,2.1,-93310000.0,-63970000.0,1.82,104720000.0,nan,nan,nan,nan,nan,0.0
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,2009,77.27,1038000000.0,58.1,28.34,2.16,1.89,3.64,1.79,23.89,3.19,5.86,6.15,7.51,547630000.0,44.08,nan,138000000.0,40990000.0,1.36,-0.5,66170000.0,5.08,34210000.0,12.15,2.87,21.62,15730000.0,2510000.0,0.29,13180000.0,nan,nan,nan,nan,nan,0.0
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,n/a,1.75,19307000.0,nan,nan,nan,0.37,0.58,0.34,-6.21,-16.55,-8.48,-5.82,-23.5,52030000.0,5.03,nan,11220000.0,-2820000.0,-0.837,nan,1370000.0,0.13,nan,2.31,3.05,3.13,-1650000.0,1260000.0,0.07,10360000.0,nan,nan,nan,nan,nan,0.0
IOTS,Adesto Technologies Corporation,Technology,Semiconductors,2015,8.4,251134000.0,nan,36.74,-14.08,2.61,4.37,2.9,-43.52,-28.45,-14.88,-8.81,-60.94,96300000.0,3.54,nan,36060000.0,-6430000.0,-1.01,nan,7640000.0,0.26,36240000.0,63.18,1.19,1.93,-17800000.0,-1620000.0,1.34,29720000.0,nan,nan,nan,nan,nan,0.0
ADIL,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals,2018,1.96,20655000.0,nan,-2.97,nan,nan,1.72,nan,-1.22,0.0,0.0,-76.56,-267.38,nan,nan,nan,nan,-7430000.0,-2.321,nan,11390000.0,1.12,nan,nan,36.62,1.15,-4010000.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,3.63,214169000.0,nan,-6.4,nan,13.0,17.1,12.7,-3.87,0.0,-345.83,-42.07,-368.91,16469999.999999998,0.36,nan,-25210000.0,-54140000.0,-1.342,nan,16530000.000000002,0.36,57440000.0,572.16,4.6,0.22,-60530000.0,-37400000.0,2.87,46380000.0,nan,nan,nan,nan,nan,0.0
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software,1986,305.81,150290000000.0,57.98,31.82,1.71,14.88,15.19,14.86,44.58,26.25,28.55,10.35,28.45,10100000000.0,20.68,nan,7840000000.0,3370000000.0,5.35,-4.6,3480000000.0,7.17,4139999999.9999995,41.65,0.69,20.42,4190000000.0000005,2940000000.0,1.05,487950000.0,nan,nan,nan,nan,nan,0.0
ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.,2017,0.25,17506000.0,nan,-6.0,nan,3.52,2.73,2.46,-1.47,-169.52,-168.01,-46.14,-96.48,4970000.0,0.07,nan,nan,-8300000.000000001,-0.115,nan,7710000.0,0.11,2500000.0,38.91,2.66,0.09,-3330000.0,nan,1.31,72860000.0,nan,nan,nan,nan,nan,0.0
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,1994,11.27,530782000.00000006,109.9,29.5,17.75,0.91,1.2,0.74,156.69,0.86,-2.5,-1.42,1.1,580600000.0,12.16,nan,203560000.0,2740000.0,0.1,nan,137700000.0,2.88,25600000.0,5.73,2.64,9.35,14540000.0,-2310000.0,1.67,47810000.0,0.36,3.18,0.36,3.18,2.03,360.0
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,2015,1.38,105656000.0,nan,-1.5,-0.17,8.52,0.91,-9.9,1.3,0.0,-803.23,-15.99,-62.3,12400000.0,0.16,nan,-60750000.0,-94630000.0,-1.228,nan,266910000.00000003,3.34,34570000.0,29.96,9.11,1.45,-59370000.0,-31730000.0,0.61,79850000.0,nan,nan,nan,nan,nan,0.0
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,n/a,12.66,243022000.0,6.03,2.6,0.07,6.17,2.24,7.23,49.36,107.16,10.56,1.88,46.06,39380000.0,2.04,nan,18690000.0,5770000.0,2.15,88.0,20670000.0,1.13,74470000.0,70.31,1.41,5.8,5990000.0,-17760000.0,-0.03,18650000.0,1.0,7.92,1.0,7.89,nan,46.08
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,1995,57.99,2368000000.0,20.34,17.2,3.03,3.57,3.72,2.87,12.49,17.46,20.77,10.32,19.37,664020000.0,17.15,nan,367500000.0,152850000.0,2.98,-66.9,353660000.0,9.25,36890000.0,5.93,5.12,16.26,123620000.0,82710000.0,1.74,38240000.0,nan,nan,nan,nan,nan,0.0
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,n/a,33.64,36893000000.0,136.99,33.12,1.44,6.05,20.65,5.96,62.07,4.46,6.79,5.95,21.73,6100000000.0,6.09,nan,2490000000.0,586000000.0,0.25,-80.2,1190000000.0,1.1,1340000000.0,75.22,2.08,1.65,-72000000.0,-233380000.0,3.37,969340000.0,nan,nan,nan,nan,nan,0.0
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,n/a,0.728,4699000.0,nan,-0.27,nan,0.2,0.14,-1.21,0.91,-126.12,-139.76,-31.35,-65.85,23140000.0,5.13,nan,6060000.0,-30800000.0,-6.998,nan,33710000.0,4.2,nan,nan,7.08,5.38,-51100000.0,-26420000.0,4.12,42280000.0,nan,nan,nan,nan,nan,0.0
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2014,14.44,950243000.0,nan,-12.94,nan,680.69,4.92,538.98,-11.88,0.0,nan,-17.0,-32.21,1400000.0,0.02,nan,-48520000.0,-63330000.0,-1.11,nan,189490000.0,2.99,25900000.0,13.77,18.2,2.97,-54200000.0,-33390000.0,2.23,nan,nan,nan,nan,nan,nan,0.0
AEGN,Aegion Corp,Basic Industries,Water Supply,n/a,18.31,600800000.0,789.17,14.03,0.99,0.47,1.33,0.71,9.9,0.08,4.3,3.29,0.12,1290000000.0,39.99,nan,268810000.0,92170000.0,0.02,nan,62480000.0,1.99,389610000.0,85.71,2.09,14.2,31800000.0,70470000.0,2.32,31340000.0,nan,nan,nan,nan,nan,0.0
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,2016,6.89,206265000.0,nan,-3.74,nan,86.74,1.77,32.12,-1.4,0.0,nan,-38.47,-66.66,2380000.0,0.1,nan,-32830000.0,-54550000.0,-2.23,nan,123720000.0,4.29,nan,0.66,10.74,4.03,-40550000.0,-21860000.0,0.94,16810000.0,nan,nan,nan,nan,nan,0.0
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,1997,1.47,34304000.0,nan,7.45,1.14,1.63,2.18,1.35,-7.43,-24.86,-20.3,-10.23,-30.14,21060000.0,0.94,nan,7600000.0,-3830000.0,-0.234,-42.4,5430000.0,0.24,nan,nan,3.63,0.68,nan,nan,1.26,22560000.0,nan,nan,nan,nan,nan,0.0
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals,n/a,1.02,20326000.0,nan,-0.87,nan,0.12,nan,1.23,-23.57,-19.0,-7.95,-9.09,nan,170400000.0,8.4,nan,5410000.0,-8860000.0,-1.601,nan,nan,0.0,193610000.0,nan,0.21,-5.9,-7590000.0,-10830000.0,-1.02,20380000.0,nan,nan,nan,nan,nan,0.0
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,21.67,1054999999.9999999,nan,95.71,nan,30.11,5.49,25.02,-4.13,0.0,-619.7,-41.49,-111.96,35030000.0,0.81,nan,-3000000.0,-212450000.0,-5.53,nan,148870000.0,3.24,17080000.0,8.89,3.47,4.18,-160380000.0,-118200000.0,0.53,45920000.0,nan,nan,nan,nan,nan,0.0
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace,2007,53.32,1315000000.0,27.94,32.38,0.8,4.19,2.82,3.04,20.79,15.09,12.16,4.86,9.61,314270000.0,13.28,nan,128400000.0,45890000.0,1.97,-66.1,323200000.0,13.63,nan,nan,10.47,19.5,19260000.0,8070000.0,0.85,23930000.0,nan,nan,nan,nan,nan,0.0
ARPO,"Aerpio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a,0.806,32226999.999999996,nan,-1.47,nan,1.6,0.63,-1.02,1.65,-56.87,-62.24,-22.47,-37.04,20160000.0,0.54,nan,20160000.0,-12500000.0,-0.307,nan,53420000.0,1.32,nan,1.04,13.84,1.25,-8369999.999999999,-4880000.0,nan,27140000.0,nan,nan,nan,nan,nan,0.0
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,n/a,2.4,37131000.0,nan,-4.65,nan,16.43,nan,13.43,-2.51,0.0,-537.92,-25.83,-379.55,2260000.0,0.14,nan,24780000.0,-12100000.0,-0.924,nan,11360000.0,0.69,1760000.0,nan,2.38,-0.22,-12900000.0,-9410000.0,1.21,16440000.000000002,nan,nan,nan,nan,nan,0.0
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,0.315,5895000.0,nan,-1.57,nan,25.67,2.45,13.12,-0.55,0.0,nan,-60.2,-149.29,nan,0.01,nan,nan,-5500000.0,-0.342,nan,3830000.0,0.2,nan,41.86,2.21,0.13,-4290000.0,-1670000.0,0.29,16700000.0,nan,nan,nan,nan,nan,0.0
GNMX,"Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,0.1819,11820000.0,nan,-0.28,nan,nan,3.2,nan,-0.18,0.0,0.0,-96.56,-203.7,nan,nan,nan,nan,-27020000.0,-0.429,nan,6950000.0,0.11,nan,0.3,1.95,0.06,-24530000.0,-14590000.0,1.44,64769999.99999999,nan,nan,nan,nan,nan,0.0
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,2014,2.97,182296000.0,nan,-7.12,nan,nan,4.36,nan,nan,-27.26,0.0,-8.62,-19.44,nan,nan,nan,23750000.0,nan,-0.717,nan,nan,nan,nan,10.96,3.17,0.67,nan,nan,2.22,nan,nan,nan,nan,nan,nan,0.0
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014,1.27,51795000.0,nan,-3.76,nan,nan,2.19,nan,-2.75,0.0,0.0,-29.28,-63.74,nan,nan,nan,nan,-16120000.000000002,-0.502,nan,11560000.0,0.26,nan,1.15,8.91,0.57,-16140000.0,-9340000.0,-0.61,34380000.0,nan,nan,nan,nan,nan,0.0
AGYS,"Agilysys, Inc.",Technology,EDP Services,n/a,23.04,554576000.0,nan,-335.0,-5.55,3.94,5.41,3.53,-53.96,-9.35,-8.36,-4.59,-12.59,140840000.0,6.11,nan,73880000.0,-9200000.0,-0.57,nan,40770000.0,1.76,nan,0.06,1.36,4.34,7240000.0,8740000.0,0.68,23580000.0,nan,nan,nan,nan,nan,0.0
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2013,46.52,2727000000.0,nan,-7.3,-0.18,23.54,4.44,19.79,-6.39,0.0,-315.88,-24.56,-46.88,115850000.0,1.99,nan,-248330000.0,-358500000.0,-5.99,nan,524559999.99999994,8.94,75130000.0,12.11,6.89,10.57,-308690000.0,-166830000.0,2.24,nan,nan,nan,nan,nan,nan,0.0
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,2008,17.52,9371000000.0,nan,8.38,-3.01,131.99,0.96,nan,nan,-42.25,-4.22,-0.03,-0.32,71000000.0,0.15,nan,229000000.0,nan,-0.15,-37.5,21610000000.0,40.29,87000000000.0,828.53,0.21,18.25,1150000000.0,nan,0.17,391320000.0,1.92,10.97,2.16,12.31,12.28,nan
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services,2014,1.67,79752000.0,nan,-5.74,-0.26,0.44,0.23,2.58,8.15,-16.56,4.65,0.57,-7.83,179380000.0,3.59,nan,132509999.99999999,56720000.0,-0.595,nan,39990000.0,0.78,414160000.0,116.34,1.98,6.85,8570000.0,45150000.0,0.3,51450000.0,nan,nan,nan,nan,nan,0.0
ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017,0.51,13172000.0,nan,-0.57,-0.23,nan,0.58,nan,-0.18,0.0,0.0,-55.61,-115.83,nan,nan,nan,-18450000.0,-30150000.0,-2.112,nan,13270000.0,0.5,5320000.0,41.38,3.11,0.86,-28500000.0,-20820000.0,2.7,14750000.0,nan,nan,nan,nan,nan,0.0
