Ticker,Name,Sector,Industry,IPO Year,Price,Market Cap,Trailing P/E,Forward P/E,PEG Ratio(5yr Expected),Price/Sales(ttm),Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin(TTM),Return on Assets(TTM),Return on Equity(TTM),Revenue(TTM),Revenue Per Share(TTM),Quarterly Revenue Growth(YOY),Gross Profit(TTM),EBITDA,Diluted EPS(TTM),Quarterly Earnings Growth(YOY),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow(TTM),Levered Free Cash Flow(TTM),Beta(3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,1.81,75946000.0,nan,-1.01,nan,34.66,0.71,9.97,-0.3,0.0,nan,-29.88,-56.98,2190000.0,0.05,nan,-35700000.0,-72340000.0,-1.586,nan,62510000.0,1.27,8400000.0,7.84,2.54,2.18,-56330000.0,-35490000.0,0.8,48090000.0,nan,nan,nan,nan,nan,0.0
ABIL,Ability Inc.,Consumer Durables,Telecommunications Equipment,2014,0.61,5307000.0,nan,nan,nan,9.85,1.17,-10.57,0.59,0.0,nan,-28.01,-492.22,nan,0.18,nan,-1100000.0,-9690000.0,-3.446,nan,9860000.0,1.56,nan,nan,1.12,0.56,-5090000.0,-1270000.0,0.29,2580000.0,nan,nan,nan,nan,nan,0.0
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,n/a,193.5,8761000000.0,34.54,36.64,1.3,10.99,8.74,10.4,32.64,32.35,29.91,15.38,29.88,797090000.0,17.68,nan,639870000.0,253920000.0,5.59,-1.3,486670000.0,10.73,13660000.0,1.36,6.76,22.1,270190000.0,146020000.0,1.01,45280000.0,nan,nan,nan,nan,nan,0.0
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,n/a,0.5565,80735000.0,2.0,2.17,1.65,0.55,0.56,1.85,2.6,29.82,37.21,9.11,33.44,146960000.0,0.88,nan,112840000.0,104620000.0,0.261,nan,1320000.0,0.01,186740000.0,121.24,0.47,0.93,77410000.0,-107980000.0,1.99,168370000.0,nan,nan,nan,nan,nan,0.0
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,2016,5.24,356792000.0,nan,-5.93,nan,nan,1.75,nan,nan,23.02,0.0,5.72,10.02,nan,nan,nan,-37080000.0,nan,-0.55,nan,nan,nan,nan,0.94,21.9,2.99,nan,nan,0.01,57360000.0,nan,nan,nan,nan,nan,0.0
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,2016,63.31,2551000000.0,120.55,30.31,-3.1,6.1,4.88,5.48,81.02,5.3,3.57,1.48,4.29,418350000.0,10.33,nan,147120000.0,28290000.0,0.52,nan,318140000.0,7.75,21570000.0,4.07,4.18,12.92,99340000.0,79360000.0,1.47,40600000.0,nan,nan,nan,nan,nan,0.0
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,n/a,2.61,132356000.0,nan,nan,nan,1.84,0.73,-0.45,-8.52,-76.22,-8.23,-1.63,-26.15,71780000.0,1.45,nan,49370000.0,3780000.0,-1.102,nan,164900000.0,3.29,nan,nan,9.17,3.59,-54780000.0,-1570000.0,0.11,50060000.0,nan,nan,0.12,4.81,nan,0.0
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,n/a,26.38,2311000000.0,nan,10.93,1.87,0.76,0.96,2.01,10.99,-6.8,13.05,3.75,-8.08,3050000000.0,34.92,nan,1230000000.0,559480000.0,-2.38,-18.2,43540000.0,0.49,3820000000.0,155.44,1.1,27.64,325450000.0,-20970000.0,0.71,88700000.0,nan,nan,nan,nan,nan,0.0
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,1985,28.1,3930000000.0,nan,-22.67,-0.56,14.89,10.27,13.73,-13.42,-101.45,-103.5,-44.03,-81.96,264040000.00000003,1.94,nan,18310000.0,-270260000.0,-1.97,nan,381890000.0,2.64,11150000.0,2.87,6.85,2.69,-183930000.0,-89960000.0,1.88,144490000.0,nan,nan,nan,nan,nan,0.0
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a,1.79,150370000.0,nan,-5.34,nan,nan,nan,nan,nan,0.0,0.0,-83.31,nan,nan,nan,nan,nan,nan,-1.224,nan,nan,nan,nan,52.34,1.61,-0.3,nan,nan,1.48,nan,nan,nan,nan,nan,nan,0.0
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,18.88,1024999999.9999999,nan,-12.53,-0.4,152.27,39.39,150.26,-13.8,0.0,nan,-25.22,-143.64,6730000.0,0.12,nan,2480000.0,-73320000.0,-1.6,nan,137820000.0,2.53,125290000.0,481.8,19.99,0.48,-65900000.00000001,-30340000.0,3.24,54460000.0,nan,nan,nan,nan,nan,0.0
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,45.0,2338000000.0,nan,-24.68,nan,62.32,4.74,52.53,-15.77,0.0,-343.3,-17.84,-28.72,37520000.0,0.76,nan,-17160000.0,-124990000.0,-2.44,nan,430760000.0,8.15,29150000.0,5.83,17.11,9.48,-89630000.0,-52290000.0,0.85,45770000.0,nan,nan,nan,nan,nan,0.0
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,2007,2.65,237923000.0,nan,20.62,0.34,0.57,4.76,0.77,30.94,-3.92,0.5,0.32,-33.36,418780000.0,4.79,nan,164150000.0,10370000.0,-0.188,nan,76800000.0,0.87,159840000.0,320.52,1.79,0.56,-29640000.0,-29900000.0,1.61,nan,nan,nan,nan,nan,nan,0.0
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2011,2.19,170908000.0,nan,-3.33,nan,77.83,nan,55.69,-2.72,0.0,nan,-31.98,nan,2200000.0,0.03,nan,-14960000.0,-44970000.0,-0.711,nan,91550000.0,1.15,28770000.0,nan,11.69,-0.23,-40850000.0,-28810000.0,1.85,78910000.0,nan,nan,nan,nan,nan,0.0
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,2.61,26537000.0,nan,-1.79,nan,nan,0.99,nan,-0.14,0.0,0.0,-77.25,-151.27,nan,nan,nan,nan,-30600000.0,-3.195,nan,23490000.0,2.33,nan,1.95,4.92,2.73,-27480000.0,-15440000.0,1.63,7500000.0,nan,nan,nan,nan,nan,0.0
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a,2.0,15714000.0,nan,-1.35,nan,nan,1.41,nan,-0.37,0.0,0.0,-61.09,-117.4,nan,nan,nan,nan,-16350000.000000002,-2.606,nan,10450000.0,1.29,nan,3.64,3.62,1.42,-15250000.0,-9110000.0,1.76,12750000.0,nan,nan,nan,nan,nan,0.0
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2006,4.48,609026000.0,nan,-5.8,-0.42,nan,2.61,nan,-4.99,0.0,0.0,-17.34,-26.94,nan,nan,nan,-50120000.0,-75300000.0,-0.511,nan,233370000.0,1.67,1370000.0,0.59,14.64,1.67,-56510000.0,-31650000.0,1.8,138720000.0,nan,nan,nan,nan,nan,0.0
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,n/a,29.27,3402000000.0,42.24,26.12,3.1,3.18,3.3,4.5,27.66,7.73,11.95,2.95,8.3,1070000000.0000001,9.18,nan,579430000.0,173930000.0,0.7,nan,139400000.0,1.19,1470000000.0,140.01,1.29,9.02,169690000.0,73930000.0,1.04,110560000.0,nan,nan,nan,nan,nan,0.0
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,1.01,41782000.0,nan,-0.47,0.0,2.58,0.3,-2.34,0.28,0.0,-863.85,-41.75,-101.94,16200000.0,0.43,nan,3240000.0,-134350000.0,-4.168,nan,115520000.0,2.79,35880000.0,26.15,3.23,3.32,-109800000.0,-57140000.0,0.6,30910000.0,nan,nan,nan,nan,nan,0.0
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components,2017,14.09,253824000.0,21.19,15.89,1.02,2.71,3.86,2.38,16.41,13.16,13.85,7.78,23.37,93520000.0,5.84,nan,34450000.0,13590000.0,0.68,34.1,27580000.0,1.71,19660000.0,32.92,2.03,3.71,6420000.0,3420000.0,nan,14200000.0,nan,nan,nan,nan,nan,0.0
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2006,3.67,164476000.0,nan,-1.0,-0.04,0.54,0.28,0.79,-14.76,-25.94,-11.78,-1.84,-13.79,306160000.0,6.45,nan,372120000.0,-16360000.0,-1.674,nan,296890000.0,6.18,383040000.0,70.3,3.81,11.47,-26550000.0,-55620000.0,1.26,48130000.0,nan,nan,nan,nan,nan,0.0
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,n/a,51.0,38812000000.0,23.11,20.24,3.75,5.46,3.24,5.22,15.71,23.69,27.47,6.89,15.1,7110000000.0,9.3,nan,4980000000.0,2360000000.0,2.19,-18.4,4670000000.0,6.09,2960000000.0,24.73,3.45,15.62,1860000000.0,1780000000.0,0.95,766010000.0,0.37,0.73,0.37,0.73,0.68,16.89
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,6.01,165779000.0,nan,-2.44,-0.05,3.43,4.09,2.89,-1.38,-241.41,-212.17,-26.88,-125.84,48280000.0,1.76,nan,33409999.999999996,-101030000.0,-4.25,nan,168650000.0,6.07,133120000.0,311.74,7.27,1.54,-90650000.0,-64550000.0,2.52,27530000.0,nan,nan,nan,nan,nan,0.0
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,n/a,0.97,59713000.0,nan,-3.91,nan,3.2,1.32,3.11,-1.62,-205.33,-208.27,-56.19,-129.4,18660000.0,0.41,nan,5290000.0,-35850000.0,-0.831,nan,4090000.0,0.07,4490000.0,13.27,1.04,0.71,-32950000.000000004,-20100000.0,1.73,61440000.0,nan,nan,nan,nan,nan,0.0
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015,1.62,169254000.0,nan,-1.49,-1.27,3.99,0.91,1.46,-0.72,-234.35,-222.45,-26.17,-56.48,42430000.0,0.41,nan,-38760000.0,-86400000.0,-0.967,nan,133410000.0,1.27,26000000.0,13.91,6.19,1.78,-92120000.0,-65680000.00000001,1.78,104720000.0,nan,nan,nan,nan,nan,0.0
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,2009,87.97,1155000000.0,62.44,29.82,2.48,2.04,3.97,2.03,27.74,3.3,5.72,5.38,7.8,566060000.0,44.22,nan,138000000.0,41480000.0,1.41,27.8,54790000.0,4.19,55960000.0,19.34,2.84,22.15,8960000.0,-1820000.0,0.29,13220000.0,nan,nan,nan,nan,nan,0.0
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,n/a,1.71,18544000.0,nan,nan,nan,0.29,0.6,0.26,-10.72,-13.52,-5.08,-4.53,-22.17,63540000.0,6.14,nan,11220000.0,-1560000.0,-0.833,nan,2670000.0,0.26,nan,2.42,2.31,2.99,-2190000.0,8980000.0,0.06,10360000.0,nan,nan,nan,nan,nan,0.0
IOTS,Adesto Technologies Corporation,Technology,Semiconductors,2015,10.17,302488000.0,nan,36.43,-33.33,2.79,5.57,3.1,-53.8,-24.61,-14.21,-8.07,-60.85,108270000.0,3.7,nan,36060000.0,-6240000.0,-0.91,nan,7190000.0,0.24,35990000.0,66.0,1.14,1.83,-11550000.0,-4320000.0,1.29,30070000.0,nan,nan,nan,nan,nan,0.0
ADIL,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals,2018,1.55,17234000.0,nan,-2.46,nan,nan,1.68,nan,-0.71,0.0,0.0,-107.06,-325.69,nan,nan,nan,nan,-9310000.0,-1.861,nan,10250000.0,1.0,nan,nan,17.05,0.98,-4960000.0,-1930000.0,nan,nan,nan,nan,nan,nan,nan,0.0
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,4.45,259732000.00000003,nan,-7.47,nan,14.13,5.66,15.03,-5.3,0.0,-298.68,-26.28,-120.52,18380000.0,0.38,nan,-25210000.0,-52100000.0,-1.243,nan,73620000.0,1.24,84000000.0,179.08,10.26,0.79,-64250000.0,-42170000.0,2.63,46380000.0,nan,nan,nan,nan,nan,0.0
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software,1986,287.41,135943999999.99998,53.17,29.18,1.56,13.46,13.93,13.74,41.21,26.25,28.55,10.35,28.45,10100000000.0,20.68,nan,7840000000.0,3370000000.0,5.35,-4.6,3480000000.0,7.17,4139999999.9999995,41.65,0.69,20.42,4190000000.0000005,2940000000.0,1.06,487950000.0,nan,nan,nan,nan,nan,0.0
ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.,2017,0.0736,4572000.0,nan,-1.9,nan,0.53,1.03,0.23,-0.38,-64.22,-61.84,-25.22,-73.13,8610000.0,0.12,nan,nan,-5270000.0,-0.076,nan,7850000.0,0.11,4300000.0,79.32,1.65,0.07,-2610000.0,nan,1.29,72860000.0,nan,nan,nan,nan,nan,0.0
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,1994,10.31,476503000.0,100.69,27.03,15.82,0.82,1.1,0.65,138.36,0.86,-2.5,-1.42,1.1,580600000.0,12.16,nan,203560000.0,2740000.0,0.1,nan,137700000.0,2.88,25600000.0,5.73,2.64,9.35,14540000.0,-2310000.0,1.58,47810000.0,0.36,3.43,0.36,3.43,2.06,360.0
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,2015,1.26,97796000.0,nan,-1.48,-0.15,6.68,0.98,-8.11,1.35,0.0,-633.3,-15.75,-65.93,14650000.0,0.18,nan,-60750000.0,-87830000.0,-1.15,nan,251630000.0,3.14,34230000.0,33.87,8.44,1.26,-51400000.0,-31240000.0,0.3,80140000.0,nan,nan,nan,nan,nan,0.0
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,n/a,12.8,235008000.0,6.89,2.53,0.08,4.64,2.12,5.47,52.7,69.1,3.68,0.86,37.18,50680000.0,2.68,nan,18690000.0,5260000.0,1.83,-46.9,15420000.0,0.85,63780000.0,59.19,1.23,5.95,24130000.0,-17670000.0,-0.0,18650000.0,1.0,7.87,1.0,7.87,nan,53.76
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,1995,49.26,1898000000.0,19.69,15.99,2.67,3.15,3.02,2.78,14.92,16.8,15.94,7.06,14.88,602800000.0,15.68,nan,367500000.0,112140000.0,2.62,-31.7,359820000.0,9.39,53990000.0,8.23,5.84,17.11,82230000.0,49800000.0,1.71,38240000.0,nan,nan,nan,nan,nan,0.0
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,n/a,31.47,33412999999.999996,173.76,29.67,1.36,5.69,17.97,5.84,68.31,3.25,5.45,4.34,13.74,5870000000.0,5.71,nan,2490000000.0,502000000.0,0.18,-69.8,1130000000.0,1.04,1280000000.0,67.33,2.08,1.75,13000000.0,-58380000.0,3.18,969340000.0,nan,nan,nan,nan,nan,0.0
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,n/a,0.35,6164000.0,nan,-0.12,nan,0.27,0.06,-1.34,1.01,-126.12,-139.76,-31.35,-65.85,23140000.0,5.13,nan,6060000.0,-30800000.0,-6.998,nan,33710000.0,4.2,nan,nan,7.08,5.38,-51100000.0,-26420000.0,3.8,42280000.0,nan,nan,nan,nan,nan,0.0
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2014,10.93,651814000.0,nan,-8.68,nan,721.83,3.74,569.18,-8.6,0.0,nan,-16.77,-32.13,nan,0.01,nan,-48520000.0,-59740000.0,-1.05,nan,177640000.0,2.76,25750000.0,14.48,17.79,2.76,-54440000.0,-37290000.0,2.2,nan,nan,nan,nan,nan,nan,0.0
AEGN,Aegion Corp,Basic Industries,Water Supply,n/a,19.57,600854000.0,nan,14.2,1.05,0.47,1.43,0.74,10.2,-1.21,4.4,3.34,-3.18,1270000000.0,39.84,nan,268810000.0,92490000.0,-0.48,nan,51340000.0,1.66,378610000.0,87.23,1.96,13.82,43650000.0,87650000.0,2.32,31340000.0,nan,nan,nan,nan,nan,0.0
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,2016,7.64,221347000.0,nan,-3.92,nan,nan,2.26,nan,-1.97,0.0,0.0,-40.46,-71.65,nan,0.0,nan,-32830000.0,-63470000.0,-2.3,nan,105540000.0,3.65,5210000.0,5.24,8.44,3.45,-47890000.0,-26380000.0,1.06,16810000.0,nan,nan,nan,nan,nan,0.0
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,1997,1.3612,30233000.0,nan,6.7,0.94,1.44,1.96,1.18,-6.49,-24.86,-20.3,-10.23,-30.14,21060000.0,0.94,nan,7600000.0,-3830000.0,-0.234,-42.4,5430000.0,0.24,nan,nan,3.63,0.68,nan,nan,1.13,22560000.0,nan,nan,nan,nan,nan,0.0
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals,n/a,0.7534,15539000.0,nan,-0.71,nan,0.09,nan,1.18,-23.63,-22.7,-7.63,-9.05,nan,175990000.0,8.65,nan,5410000.0,-8820000.0,-1.964,nan,nan,0.02,199340000.0,nan,0.18,-6.52,-5130000.0,-2680000.0,-0.9,20570000.0,nan,nan,nan,nan,nan,0.0
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,21.89,1012000000.0,nan,-21.66,nan,20.89,6.39,18.67,-4.54,0.0,-428.3,-44.18,-132.31,48450000.0,1.08,nan,-3000000.0,-199220000.0,-5.17,nan,109360000.0,2.38,18730000.0,12.03,2.52,3.39,-159890000.0,-103200000.0,0.42,45920000.0,nan,nan,nan,nan,nan,0.0
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace,2007,52.05,1236000000.0,26.16,30.31,0.76,3.93,2.64,2.86,19.59,15.09,12.16,4.86,9.61,314270000.0,13.28,nan,128400000.0,45890000.0,1.97,-66.1,323200000.0,13.63,nan,nan,10.47,19.5,19260000.0,8070000.0,0.81,23930000.0,nan,nan,nan,nan,nan,0.0
ARPO,"Aerpio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a,0.74,31435000.0,nan,-1.43,nan,1.67,0.65,-0.96,1.57,-59.27,-61.48,-12.14,-23.83,18820000.0,0.46,nan,20160000.0,-11520000.0,-0.275,nan,48160000.0,1.19,nan,1.05,13.57,1.13,-26630000.0,-22960000.0,2.56,27140000.0,nan,nan,nan,nan,nan,0.0
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,n/a,2.11,31539000.0,nan,-3.5,nan,13.8,nan,12.68,-2.52,0.0,-505.21,-27.56,-380.75,2290000.0,0.14,nan,24780000.0,-11510000.0,-0.748,nan,9680000.0,0.58,1420000.0,nan,1.68,-0.18,-10290000.0,-5110000.0,1.13,16440000.000000002,nan,nan,nan,nan,nan,0.0
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,0.29,5909000.0,nan,-1.38,nan,53.72,4.62,38.81,-0.71,0.0,nan,-79.84,-232.81,nan,0.01,nan,nan,-5970000.0,-0.386,nan,2490000.0,0.13,1100000.0,108.32,1.47,0.06,-4720000.0,-1930000.0,0.09,19700000.0,nan,nan,nan,nan,nan,0.0
GNMX,"Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,0.175,12140000.0,nan,-0.28,nan,nan,36.48,nan,-0.37,0.0,0.0,-115.85,-286.25,nan,nan,nan,nan,-22430000.0,-0.349,nan,3440000.0,0.05,nan,nan,1.09,0.0,-20840000.0,-12530000.0,1.39,64769999.99999999,nan,nan,nan,nan,nan,0.0
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,2014,2.77,168660000.0,nan,-6.18,nan,nan,4.16,nan,nan,-30.58,0.0,-10.18,-29.36,nan,nan,nan,23750000.0,nan,-0.717,nan,nan,nan,nan,13.69,3.48,0.67,nan,nan,2.19,nan,nan,nan,nan,nan,nan,0.0
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2000,2.83,389892000.0,nan,-2.32,nan,3.39,nan,2.78,-4.49,-98.39,-67.5,-28.62,nan,114860000.0,0.92,nan,-87820000.0,-71030000.0,-0.906,nan,121720000.0,0.89,22530000.0,nan,1.14,-1.14,-19430000.0,2460000.0,1.43,113280000.0,nan,nan,nan,nan,nan,0.0
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014,1.08,63469000.0,nan,-4.07,nan,nan,2.13,nan,-2.61,0.0,0.0,-30.46,-63.89,nan,nan,nan,nan,-14900000.0,-0.42,nan,10590000.0,0.24,nan,1.08,6.07,0.52,-14330000.0,-8260000.0,-0.6,34380000.0,nan,nan,nan,nan,nan,0.0
AGYS,"Agilysys, Inc.",Technology,EDP Services,n/a,27.12,627826000.0,nan,-454.17,-6.87,4.32,6.34,4.21,-63.28,-8.95,-8.25,-4.54,-12.4,145220000.0,6.3,nan,73880000.0,-9660000.0,-0.56,nan,37230000.0,1.6,15800000.0,15.81,1.37,4.3,6690000.0,9410000.0,0.67,23680000.0,nan,nan,nan,nan,nan,0.0
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2013,38.0,2229000000.0,nan,-5.44,-0.13,21.93,4.19,18.2,-4.64,0.0,-400.22,-28.54,-57.44,101660000.0,1.74,nan,-248330000.0,-399110000.0,-6.67,nan,495390000.0,8.43,116470000.0,21.86,5.96,9.07,-329450000.0,-178210000.0,2.18,nan,nan,nan,nan,nan,nan,0.0
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,2008,14.92,8260999999.999999,nan,7.33,-1.72,-12.44,0.85,-128.92,nan,0.0,111.45,-0.85,-7.91,-664000000.0,-1.3,nan,229000000.0,nan,-1.58,nan,9830000000.0,17.95,86580000000.0,836.84,0.12,17.59,1270000000.0,nan,0.19,391320000.0,1.92,12.77,2.12,14.3,12.28,nan
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services,2014,1.59,83337000.0,nan,-6.48,-0.25,0.46,0.25,2.57,7.83,-18.45,5.92,0.76,-9.45,182140000.0,3.64,nan,132509999.99999999,59760000.0,-0.672,nan,35870000.0,0.7,412200000.0,120.73,1.98,6.54,12960000.0,33210000.0,0.11,51450000.0,nan,nan,nan,nan,nan,0.0
