Ticker,Name,Sector,Industry,IPO_Year,Price
AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment,n/a,6.7
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software,2015,59.13
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment,1999,1.74
ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a,30.98
ABDC,Alcentra Capital Corp.,n/a,n/a,n/a,7.3
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,13.17
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014,8.37
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,1996,138
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,n/a,29.67
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties,2001,264.37
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals,2010,1.14
ALYA,Alithya Group inc.,n/a,n/a,n/a,2.79
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals,1991,34.54
ALLK,Allakos Inc.,Health Care,Major Pharmaceuticals,2018,42.48
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks,2015,38.12
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,2006,131.97
ALNA,"Allena Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2017,6.88
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining,1999,19.69
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties,1992,1.86
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products,n/a,41.53
ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments,n/a,2.66
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment,2006,7.7
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services,n/a,10.79
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2004,86.05
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,2010,10.91
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments,2006,1.65
ALPN,"Alpine Immune Sciences, Inc.",Health Care,Major Pharmaceuticals,2015,7.07
AMR,"Alta Mesa Resources, Inc.",Energy,Oil & Gas Production,2017,0.2697
AABA,Altaba Inc.,Technology,EDP Services,n/a,75.7
ALTR,Altair Engineering Inc.,Technology,Computer Software: Prepackaged Software,2017,36.83
ALT,"Altimmune, Inc.",Health Care,Major Pharmaceuticals,n/a,2.71
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services,n/a,25.1
AIMC,Altra Industrial Motion Corp.,n/a,n/a,2006,31.81
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a,14.83
AMAL,Amalgamated Bank,Consumer Non-Durables,Textiles,2018,17.8
AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals,n/a,22.3
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores,n/a,12.56
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,n/a,20.39
AMBA,"Ambarella, Inc.",Technology,Semiconductors,2012,40.1
AMCX,AMC Networks Inc.,Consumer Services,Television Services,n/a,66.54
DOX,Amdocs Limited,Technology,EDP Services,n/a,56.85
AMED,Amedisys Inc,Health Care,Medical/Nursing Services,n/a,124.7
UHAL,Amerco,Consumer Services,Rental/Leasing Companies,n/a,381.49
AMRH,"Ameri Holdings, Inc.",Technology,Semiconductors,n/a,0.35
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services,n/a,6.76
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,n/a,34.76
AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components,n/a,0.8
AFIN,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts,n/a,10.64
AMNB,"American National Bankshares, Inc.",Finance,Major Banks,n/a,35.96
ANAT,American National Insurance Company,Finance,Life Insurance,n/a,148.96
AOBC,American Outdoor Brands Corporation,Capital Goods,Ordnance And Accessories,n/a,12.96
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services,2007,33.19
AMRB,American River Bankshares,Finance,Major Banks,n/a,13.3
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software,n/a,11.69
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications,1991,14.74
AMWD,American Woodmark Corporation,Basic Industries,Forest Products,1986,86.05
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket,n/a,83.6
ABCB,Ameris Bancorp,Finance,Major Banks,1994,41.1
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers,2005,62.32
ASRV,AmeriServ Financial Inc.,Finance,Major Banks,n/a,4.24
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1983,191.82
FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2007,14
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,1998,8.95
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,25.32
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components,n/a,4.82
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals,2010,4.67
ADI,"Analog Devices, Inc.",Technology,Semiconductors,n/a,109
ANAB,"AnaptysBio, Inc.",Health Care,Major Pharmaceuticals,2017,71.48
AVXL,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch,n/a,2.49
ANGI,ANGI Homeservices Inc.,Consumer Services,Advertising,n/a,16.41
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments,2004,22.5
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a,64.34
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments,n/a,33.05
ANIX,"Anixa Biosciences, Inc.",Health Care,Medical Specialities,n/a,5.16
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software,1996,182.38
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments,n/a,3.78
APLS,"Apellis Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2017,18.37
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.,n/a,36.03
APEN,"Apollo Endosurgery, Inc.",Health Care,Medical/Dental Instruments,n/a,3.6
AINV,Apollo Investment Corporation,n/a,n/a,2004,15.2
AMEH,"Apollo Medical Holdings, Inc.",Consumer Services,Professional Services,n/a,19.89
APPF,"AppFolio, Inc.",Technology,Computer Software: Prepackaged Software,2015,66.39
APPN,Appian Corporation,Technology,Computer Software: Prepackaged Software,2017,36.95
AAPL,Apple Inc.,Technology,Computer Manufacturing,1980,175.69
ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,Home Furnishings,n/a,0.48
APDN,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services,n/a,0.64
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2014,3.92
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,1972,38.97
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,2013,13.39
AREX,Approach Resources Inc.,Energy,Oil & Gas Production,2007,0.95
APVO,Aptevo Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,1.56
APTX,Aptinyx Inc.,Health Care,Major Pharmaceuticals,2018,5.77
APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,1.86
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications,2015,3.37
AQB,"AquaBounty Technologies, Inc.",n/a,n/a,n/a,2.28
AQST,"Aquestive Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2018,7.48
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,2.79
PETX,"Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2013,4.02
ARAV,"Aravive, Inc.",Health Care,Major Pharmaceuticals,2014,5.56
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals,n/a,4.61
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,Metal Fabrications,n/a,1.06
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a,0.4589
RKDA,"Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals,2015,8.77
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services,n/a,35.33
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,n/a,32.91
FUV,"Arcimoto, Inc.",Consumer Non-Durables,Motor Vehicles,2017,4.54
ARCE,Arco Platform Limited,Consumer Services,Other Consumer Services,2018,24.88
ARCT,Arcturus Therapeutics Ltd.,n/a,n/a,2013,5.45
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals,2014,3.05
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2000,51.29
ARCC,Ares Capital Corporation,n/a,n/a,2004,17.4
ARGX,argenx SE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2017,132.93
ARDS,Aridis Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,2018,8.5
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants,n/a,20.39
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components,1994,3.47
ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals,1996,3.56
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals,2000,23.41
ARRS,ARRIS International plc,Technology,Radio And Television Broadcasting And Communications Equipment,n/a,31.68
AROW,Arrow Financial Corporation,Finance,Major Banks,n/a,35.59
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a,20.36
ASNS,"Arsanis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2017,2.94
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply,n/a,39.26
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components,n/a,2.0904
ARVN,"Arvinas, Inc.",Health Care,Major Pharmaceuticals,2018,19.33
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,n/a,2.15
ASND,Ascendis Pharma A/S,Health Care,Major Pharmaceuticals,2015,113.15
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,Other Consumer Services,n/a,0.7418
ASLN,ASLAN Pharmaceuticals Limited,Health Care,Major Pharmaceuticals,2018,3.5
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components,1995,185.36
ASPU,Aspen Group Inc.,Consumer Services,Other Consumer Services,n/a,4.75
AZPN,"Aspen Technology, Inc.",Technology,EDP Services,1994,102.44
ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals,n/a,20.95
ASRT,"Assertio Therapeutics, Inc.",Health Care,Major Pharmaceuticals,n/a,4.36
ASFI,"Asta Funding, Inc.",Finance,Finance Companies,1995,5.15
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks,1986,39.86
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical,n/a,35.3
ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment,1983,19.06
ASTC,Astrotech Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,4.3
ASUR,Asure Software Inc,Technology,EDP Services,n/a,6.27
ASV,"ASV Holdings, Inc.",Capital Goods,Construction/Ag Equipment/Trucks,2017,3.02
ATAI,ATA Inc.,Consumer Services,Other Consumer Services,2008,1.12
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2014,38.26
ATNX,"Athenex, Inc.",Health Care,Major Pharmaceuticals,2017,13.72
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals,n/a,1.63
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks,n/a,19.27
AY,Atlantica Yield plc,Public Utilities,Electric Utilities: Central,2014,19.97
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services,1995,3.74
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services,n/a,54.14
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers,2013,9
TEAM,Atlassian Corporation Plc,Technology,Computer Software: Prepackaged Software,2015,111.58
ATNI,"ATN International, Inc.",Public Utilities,Telecommunications Equipment,n/a,55.5
ATOM,Atomera Incorporated,Technology,Semiconductors,2016,3.67
ATOS,Atossa Genetics Inc.,Health Care,Major Pharmaceuticals,2012,1.45
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments,2005,30.66
ATRI,Atrion Corporation,Health Care,Medical/Dental Instruments,n/a,790
ATIS,Attis Industries Inc.,Basic Industries,Miscellaneous,n/a,0.2785
ATTU,Attunity Ltd.,Technology,Computer Software: Prepackaged Software,n/a,23.4
LIFE,"aTyr Pharma, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015,0.5
BOLD,"Audentes Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2016,34.72
AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment,1999,13.54
AEYE,"AudioEye, Inc.",Technology,Computer Software: Prepackaged Software,n/a,10.57
AUPH,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals,n/a,6.78
EARS,Auris Medical Holding AG,Health Care,Major Pharmaceuticals,2014,0.372
JG,Aurora Mobile Limited,Technology,"Computer Software: Programming, Data Processing",2018,8.44
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software,n/a,161
AUTL,Autolus Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2018,28.1
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services,n/a,153.89
AUTO,"AutoWeb, Inc.",Technology,"Computer Software: Programming, Data Processing",n/a,3.39
AVDL,Avadel Pharmaceuticals plc,Health Care,Major Pharmaceuticals,n/a,2.18
ATXI,"Avenue Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017,5.61
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2010,0.5698
CDMO,"Avid Bioservices, Inc.",Health Care,Major Pharmaceuticals,n/a,4.11
AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software,1993,4.8
AVGR,"Avinger, Inc.",Health Care,Medical/Dental Instruments,2015,0.6875
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies,n/a,36.35
AVT,"Avnet, Inc.",Consumer Non-Durables,Electronic Components,n/a,44.07
AVRO,"AVROBIO, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2018,17.64
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software,1996,4.04
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components,2000,21.16
AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,n/a,19.34
AAXN,"Axon Enterprise, Inc.",Capital Goods,Ordnance And Accessories,n/a,54.54
AXNX,"Axonics Modulation Technologies, Inc.",n/a,n/a,2018,22.16
AXSM,"Axsome Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,7.97
AXTI,AXT Inc,Technology,Semiconductors,1998,4.3
AYTU,"Aytu BioScience, Inc.",Health Care,Major Pharmaceuticals,n/a,1.18
AZRX,"AzurRx BioPharma, Inc.",Health Care,Major Pharmaceuticals,2016,2.07
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment,n/a,4.63
RILY,"B. Riley Financial, Inc.",Miscellaneous,Business Services,n/a,17.19
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing",2005,163.71
BCPC,Balchem Corporation,Basic Industries,Major Chemicals,n/a,90.59
BLDP,"Ballard Power Systems, Inc.",Energy,Industrial Machinery/Components,n/a,3.6
BANF,BancFirst Corporation,Finance,Major Banks,1993,56.58
BAND,Bandwidth Inc.,Technology,Computer Software: Prepackaged Software,2017,57.99
BFC,Bank First National Corporation,Finance,Major Banks,n/a,55
BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks,n/a,11.16
BMRC,Bank of Marin Bancorp,Finance,Major Banks,n/a,44.34
OZK,Bank OZK,Finance,Major Banks,n/a,32.75
BSVN,Bank7 Corp.,Finance,Major Banks,2018,16.33
BFIN,BankFinancial Corporation,Finance,Savings Institutions,n/a,15.62
BWFG,"Bankwell Financial Group, Inc.",Finance,Major Banks,2014,31.16
BANR,Banner Corporation,Finance,Major Banks,n/a,61.86
BZUN,Baozun Inc.,Consumer Services,Catalog/Specialty Distribution,2015,37.78
BBSI,"Barrett Business Services, Inc.",Technology,Professional Services,1993,80.92
BSET,"Bassett Furniture Industries, Incorporated",Consumer Durables,Home Furnishings,n/a,20.04
BCML,BayCom Corp,Finance,Major Banks,2018,22.28
BCBP,"BCB Bancorp, Inc. (NJ)",Finance,Savings Institutions,2005,13.23
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,RETAIL: Building Materials,2004,37.01
BBGI,"Beasley Broadcast Group, Inc.",Consumer Services,Broadcasting,2000,4.2
BBBY,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,1992,16.16
BGNE,"BeiGene, Ltd.",Health Care,Major Pharmaceuticals,2016,153.02
BELFB,Bel Fuse Inc.,Capital Goods,Electrical Products,n/a,25.32
BLPH,"Bellerophon Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,0.667
BLCM,"Bellicum Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,3.32
BNFT,"Benefitfocus, Inc.",Technology,Computer Software: Prepackaged Software,2013,46.44
BNTC,Benitec Biopharma Limited,Health Care,Major Pharmaceuticals,2015,1.98
BRY,Berry Petroleum Corporation,Energy,Oil & Gas Production,2018,12.84
BYSI,"BeyondSpring, Inc.",Health Care,Major Pharmaceuticals,2017,18.68
BGCP,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service,n/a,6.2
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores,2002,4.12
BILI,Bilibili Inc.,Technology,EDP Services,2018,17.63
BASI,"Bioanalytical Systems, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,1997,1.61
ORPN,Bioblast Pharma Ltd.,Health Care,Major Pharmaceuticals,2014,1.31
BIOC,"Biocept, Inc.",Health Care,Medical Specialities,2014,1.09
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1994,8.71
BDSI,"BioDelivery Sciences International, Inc.",Health Care,Major Pharmaceuticals,n/a,5.12
BFRA,Biofrontera AG,Health Care,Major Pharmaceuticals,2018,12.35
BIIB,Biogen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,335.6
BHTG,"BioHiTech Global, Inc.",Consumer Services,Other Consumer Services,n/a,2.63
BKYI,"BIO-key International, Inc.",Technology,Computer Communications Equipment,n/a,1.05
BIOL,"Biolase, Inc.",Health Care,Medical/Dental Instruments,n/a,2.54
BLFS,"BioLife Solutions, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,n/a,19.49
BLRX,BioLineRx Ltd.,Health Care,Major Pharmaceuticals,n/a,0.41
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals,1999,95
BMRA,"Biomerica, Inc.",Health Care,Medical/Dental Instruments,n/a,2.84
BNGO,"Bionano Genomics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,2018,4.3782
BVXV,BiondVax Pharmaceuticals Ltd.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015,4.95
BPTH,"Bio-Path Holdings, Inc.",Health Care,Major Pharmaceuticals,n/a,6.8
BIOS,"BioScrip, Inc.",Health Care,Medical/Nursing Services,n/a,3.29
BSGM,"BioSig Technologies, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,n/a,5.55
BSTC,BioSpecifics Technologies Corp,Health Care,Major Pharmaceuticals,n/a,70.9
