Ticker,Name,Sector,Industry,IPO Year,Price,Market Cap,Trailing P/E,Forward P/E,PEG Ratio(5yr Expected),Price/Sales(ttm),Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin(TTM),Return on Assets(TTM),Return on Equity(TTM),Revenue(TTM),Revenue Per Share(TTM),Quarterly Revenue Growth(YOY),Gross Profit(TTM),EBITDA,Diluted EPS(TTM),Quarterly Earnings Growth(YOY),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow(TTM),Levered Free Cash Flow(TTM),Beta(3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,1997,1.3,30332000.0,nan,6.68,0.94,1.44,1.95,1.18,-6.47,-24.86,-20.3,-10.23,-30.14,21060000.0,0.94,nan,7600000.0,-3840000.0,-0.234,-42.4,5430000.0,0.24,nan,nan,3.63,0.68,-5640000.0,-3190000.0,1.26,22720000.0,nan,nan,nan,nan,nan,0.0
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals,n/a,0.75,16353000.000000002,nan,-0.71,nan,0.09,nan,1.19,-23.65,-22.7,-7.63,-9.05,nan,175990000.0,8.65,nan,5410000.0,-8820000.0,-1.964,nan,nan,0.02,199340000.0,nan,0.18,-6.52,-5130000.0,-2680000.0,-0.84,20570000.0,nan,nan,nan,nan,nan,0.0
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,19.3,849875000.0,nan,-18.5,nan,17.54,5.46,17.47,-4.25,0.0,-428.3,-44.18,-132.31,48450000.0,1.08,nan,-3000000.0,-199220000.0,-5.17,nan,109360000.0,2.38,18730000.0,12.03,2.52,3.39,-159890000.0,-103200000.0,0.53,45940000.0,nan,nan,nan,nan,nan,0.0
ARPO,"Aerpio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a,0.7149,28412000.0,nan,-1.37,nan,1.51,0.62,-1.06,1.73,-59.27,-61.48,-12.14,-23.83,18820000.0,0.46,nan,20160000.0,-11520000.0,-0.275,nan,48160000.0,1.19,nan,1.05,13.57,1.13,-26630000.0,-22960000.0,2.56,40590000.0,nan,nan,nan,nan,nan,0.0
GNMX,"Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,0.1835,10959000.0,nan,-0.26,nan,nan,33.84,nan,-0.34,0.0,0.0,-115.85,-286.25,nan,nan,nan,nan,-22430000.0,-0.349,nan,3440000.0,0.05,nan,nan,1.09,0.0,-20840000.0,-12530000.0,1.26,64769999.99999999,nan,nan,nan,nan,nan,0.0
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2000,2.92,399581000.0,nan,-2.35,nan,3.48,nan,2.81,-4.55,-98.39,-67.5,-28.62,nan,114860000.0,0.92,nan,-87820000.0,-71030000.0,-0.906,nan,121720000.0,0.89,22530000.0,nan,1.14,-1.14,-19430000.0,2460000.0,1.37,137310000.0,nan,nan,nan,nan,nan,0.0
AGYS,"Agilysys, Inc.",Technology,EDP Services,n/a,25.7,593306000.0,nan,-417.67,-6.87,4.09,5.83,3.86,-58.02,-8.95,-8.25,-4.54,-12.4,145220000.0,6.3,nan,73880000.0,-9660000.0,-0.56,nan,37230000.0,1.6,15800000.0,15.81,1.37,4.3,6690000.0,9410000.0,0.56,23680000.0,nan,nan,nan,nan,nan,0.0
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services,2014,1.59,84366000.0,nan,-6.56,-0.25,0.46,0.25,2.57,7.85,-18.45,5.92,0.76,-9.45,182140000.0,3.64,nan,132509999.99999999,59760000.0,-0.672,nan,35870000.0,0.7,412200000.0,120.73,1.98,6.54,12960000.0,33210000.0,0.02,51440000.0,nan,nan,nan,nan,nan,0.0
ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017,0.688,20855000.0,nan,-0.87,-0.34,nan,0.7,nan,0.25,0.0,0.0,-42.4,-91.81,nan,nan,nan,-18450000.0,-27880000.0,-1.605,nan,31520000.0,1.13,5230000.0,17.44,6.04,1.08,-26730000.0,-20500000.0,2.68,27810000.0,nan,nan,nan,nan,nan,0.0
AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,19.88,1226000000.0,nan,-5.95,-0.14,nan,5.98,nan,-4.59,0.0,0.0,-45.89,-91.65,nan,nan,nan,nan,-227010000.0,-3.73,nan,243670000.0,3.89,51580000.0,25.17,5.8,3.27,-184810000.0,-110920000.0,0.49,62670000.0,nan,nan,nan,nan,nan,0.0
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services,n/a,20.16,1177000000.0,50.2,13.68,30.4,1.01,3.15,2.23,6.84,2.13,12.71,4.4,5.89,1170000000.0,19.87,nan,377520000.0,381610000.0,0.4,nan,54780000.0,0.93,1500000000.0,404.08,0.92,6.3,365480000.0,-39300000.0,0.42,59360000.0,nan,nan,nan,nan,nan,0.0
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,2016,10.65,104633000.0,39.31,32.64,3.61,1.69,2.2,1.12,16.66,4.38,4.68,3.41,5.98,61920000.0,6.43,nan,26510000.0,4160000.0,0.27,nan,34210000.0,3.52,nan,nan,5.75,4.9,3180000.0,2029999.9999999998,1.99,9720000.0,nan,nan,nan,nan,nan,0.0
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,1999,90.13,14892000000.0,35.63,19.34,1.72,5.33,4.37,5.35,19.09,15.12,18.22,5.82,12.36,2790000000.0,17.05,nan,1760000000.0,782960000.0,2.55,164.5,1040000000.0,6.32,1290000000.0,37.95,2.95,20.78,1080000000.0,465770000.0,0.48,163860000.0,nan,nan,nan,nan,nan,0.0
AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals,n/a,1.91,40001000.0,nan,-7.26,nan,nan,nan,nan,-1.81,0.0,0.0,-92.2,-379.59,nan,nan,nan,nan,-16399999.999999998,-0.874,nan,2740000.0,0.17,nan,nan,0.78,-0.08,-14440000.0,-11250000.0,1.94,20410000.0,nan,nan,nan,nan,nan,0.0
AKCA,"Akcea Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017,20.16,1847000000.0,nan,-20.46,-0.17,8.4,5.0,7.13,-11.11,-65.62,-67.04,-22.22,-43.79,219880000.0,2.44,nan,-73990000.0,-141060000.0,-1.69,nan,295610000.0,3.18,16180000.0,4.39,6.48,3.97,-81750000.0,-102220000.0,1.54,93030000.0,nan,nan,nan,nan,nan,0.0
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,2014,0.4371,5681000.0,nan,nan,nan,2.97,1.32,0.58,-0.17,0.0,-354.67,-45.65,-114.28,1910000.0,0.16,nan,nan,-6630000.0,-0.715,nan,4270000.0,0.34,nan,nan,3.24,0.34,-6310000.0,-2900000.0,-1.52,12510000.0,nan,nan,nan,nan,nan,0.0
AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment,n/a,7.18,221517000.0,nan,-7.37,nan,203.32,7.44,189.07,-8.26,0.0,nan,-47.17,-130.23,1090000.0,0.04,nan,nan,-24930000.0,-1.18,nan,34630000.0,1.15,19100000.0,64.31,12.78,0.99,-16530000.000000002,-13010000.0,1.33,30060000.0,nan,nan,nan,nan,nan,0.0
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software,2015,47.71,2341000000.0,106.37,nan,nan,5.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.19,nan,nan,nan,nan,nan,nan,0.0
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment,1999,1.73,92076000.0,24.23,nan,nan,0.4,0.55,1.42,6.03,1.64,8.44,2.46,2.22,231220000.0,4.33,nan,124730000.0,54320000.0,0.071,-99.0,24050000.0,0.45,258500000.0,152.23,1.36,3.14,62170000.0,12990000.0,1.07,53530000.0,nan,nan,nan,nan,nan,0.0
ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a,24.03,304574000.0,nan,-4.22,nan,115.9,2.59,55.99,-2.56,0.0,nan,-18.63,-47.3,2630000.0,0.22,nan,12740000.0,-57450000.0,-5.23,nan,157720000.0,12.43,nan,0.25,13.83,9.28,-46800000.0,-30650000.0,1.48,12690000.0,nan,nan,nan,nan,nan,0.0
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014,4.53,127411000.0,nan,-2.25,nan,nan,1.85,nan,-1.86,0.0,0.0,-49.79,-96.63,nan,nan,nan,nan,-46570000.0,-1.998,nan,37460000.0,1.36,nan,0.49,11.4,2.49,-41100000.0,-38650000.0,1.07,27580000.0,nan,nan,nan,nan,nan,0.0
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,1996,95.95,21869000000.0,16.53,8.87,0.59,4.86,2.15,4.92,9.77,29.64,42.09,8.44,14.09,4500000000.0,20.12,nan,3760000000.0,2270000000.0,5.9,nan,2100000000.0,9.34,2890000000.0,28.48,4.04,45.33,1440000000.0,1230000000.0,1.78,224230000.0,nan,nan,nan,nan,nan,0.0
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,n/a,30.54,228706000.0,10.64,nan,nan,1.87,1.28,3.23,7.97,17.99,29.19,5.46,12.05,122500000.0,16.01,nan,27830000.0,49630000.0,2.87,78.5,3520000.0,0.47,164760000.0,89.9,1.89,23.82,44620000.0,32409999.999999996,0.56,7480000.0,0.24,0.8,0.24,0.8,0.77,8.16
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties,2001,180.35,14088000000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals,2010,0.385,27697000.0,1.29,-9.75,nan,0.55,nan,1.71,-23.39,51.28,-12.57,-7.53,nan,50370000.0,0.71,nan,42290000.0,-3680000.0,0.303,nan,12160000.0,0.17,40200000.0,nan,2.67,-0.48,-3830000.0,1090000.0,1.43,71000000.0,nan,nan,nan,nan,nan,0.0
ALYA,Alithya Group inc.,n/a,n/a,n/a,2.7678,155644000.0,nan,nan,nan,nan,3.44,nan,nan,-4.93,0.0,-2.66,-13.24,nan,nan,nan,54280000.0,nan,-0.241,nan,nan,nan,nan,20.24,1.59,0.81,nan,nan,nan,48500000.0,nan,nan,nan,nan,nan,0.0
ALLK,Allakos Inc.,Health Care,Major Pharmaceuticals,2018,85.29,4059000000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks,2015,32.18,676008000.0,nan,11.53,nan,nan,0.96,3.84,nan,28.79,40.94,1.26,9.56,170070000.0,8.68,nan,132039999.99999999,nan,2.47,88.6,232610000.0,10.99,211110000.0,nan,nan,33.32,61620000.0,nan,nan,21160000.0,nan,nan,nan,nan,nan,nan
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,2006,142.47,2336000000.0,12.64,9.51,0.46,1.34,2.87,1.81,7.95,10.54,16.24,6.69,25.43,1750000000.0,109.22,nan,534340000.00000006,397650000.0,11.34,41.0,670600000.0,41.63,1520000000.0,189.3,1.28,49.94,350890000.0,-40700000.0,1.71,16309999.999999998,2.8,1.97,2.8,1.98,nan,24.73
ALNA,"Allena Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2017,4.35,96209000.0,nan,-2.17,nan,nan,2.55,nan,-1.5,0.0,0.0,-39.64,-79.62,nan,nan,nan,nan,-42250000.0,-2.009,nan,48520000.0,2.07,10730000.0,28.49,6.8,1.61,-39560000.0,-24500000.0,nan,23470000.0,nan,nan,nan,nan,nan,0.0
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties,1992,1.5,6181000.0,nan,nan,nan,0.19,0.5,0.19,-3.82,-5.49,-7.53,-8.77,-13.42,32369999.999999996,8.06,nan,6450000.0,-1570000.0,-0.45,nan,nan,0.03,nan,3.32,2.86,3.08,nan,nan,-1.16,4010000.0,nan,nan,nan,nan,nan,0.0
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products,n/a,31.94,310363000.0,18.46,14.43,0.63,0.91,2.79,1.3,11.24,4.82,7.64,6.19,15.88,340580000.0,36.49,nan,91400000.0,39300000.0,1.75,5.1,10460000.0,1.09,141970000.0,127.67,2.63,11.58,18920000.0,nan,1.27,9600000.0,0.12,0.37,0.12,0.38,0.39,6.86
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services,n/a,9.02,1498000000.0,8.48,11.83,1.55,0.86,1.14,1.33,19.96,10.35,1.61,0.46,-14.05,1750000000.0,10.24,nan,827420000.0,116350000.0,1.06,nan,138900000.0,0.83,962650000.0,73.14,0.91,7.9,nan,114610000.0,1.45,166650000.0,nan,nan,nan,nan,nan,0.0
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2004,82.26,9156000000.0,nan,-11.26,-0.22,90.55,5.21,74.2,-8.55,0.0,-890.09,-24.97,-50.81,101110000.0,0.97,nan,73110000.0,-877000000.0,-8.25,nan,1930000000.0,17.33,336560000.0,19.15,6.28,15.81,-204080000.0,-402690000.0,2.2,111210000.0,nan,nan,nan,nan,nan,0.0
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,2010,11.93,293989000.0,155.71,7.89,0.59,0.65,1.01,1.03,18.97,0.41,-1.56,-0.62,-3.37,450920000.0,18.74,nan,115380000.0,24520000.0,0.08,149.3,121890000.0,4.97,140720000.0,31.75,1.66,11.87,31420000.0,-102050000.0,1.67,24520000.0,nan,nan,nan,nan,nan,0.0
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments,2006,5.08,302650000.0,nan,-7.54,-0.46,3.02,16.89,2.97,-14.18,-45.29,-27.7,-12.71,-98.73,100220000.0,2.25,nan,63240000.0,-21020000.0,-1.32,nan,18570000.0,0.39,52300000.0,138.48,2.45,0.3,-31540000.0,-27660000.0,0.99,59930000.0,nan,nan,nan,nan,nan,0.0
AMR,"Alta Mesa Resources, Inc.",Energy,Oil & Gas Production,2017,0.0925,35008000.0,nan,-4.58,nan,0.07,nan,2.21,4.8,0.0,-440.09,-114.19,nan,498120000.0,2.84,nan,358320000.0,229080000.0,-9.502,nan,26850000.0,0.15,864120000.0,399.82,0.15,-0.16,94700000.0,362060000.0,1.41,182610000.0,nan,nan,nan,nan,nan,0.0
ALTR,Altair Engineering Inc.,Technology,Computer Software: Prepackaged Software,2017,33.72,2418000000.0,nan,53.57,1.11,5.7,6.71,5.51,71.96,0.0,3.49,1.58,0.0,424390000.0,6.0,nan,286110000.0,32470000.0,0.0,nan,251830000.0,3.52,203760000.0,56.63,2.58,5.03,30790000.0,-72920000.0,nan,39730000.0,nan,nan,nan,nan,nan,0.0
ALT,"Altimmune, Inc.",Health Care,Major Pharmaceuticals,n/a,2.12,32210000.0,nan,-2.1,nan,3.29,0.49,-0.8,0.67,0.0,-124.58,-13.38,-69.9,9800000.0,1.22,nan,-8130000.000000001,-11790000.0,-4.161,nan,41670000.0,2.78,2280000.0,4.06,13.25,4.28,-11350000.0,-5970000.0,2.17,15340000.0,nan,nan,nan,nan,nan,0.0
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services,n/a,19.66,316938000.0,nan,nan,0.56,0.4,1.12,0.7,6.38,-1.5,4.58,2.9,-2.91,788680000.0,47.6,nan,216040000.0,86830000.0,-0.72,nan,129110000.00000001,8.07,364020000.0,127.34,2.1,17.67,78310000.0,82180000.0,1.16,16000000.0,nan,nan,nan,nan,nan,0.0
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a,11.39,412233000.0,nan,-6.64,0.09,1.13,0.83,1.17,-7.72,-64.33,-26.13,-4.17,-53.54,364270000.0,10.61,nan,230210000.0,-55410000.0,-6.83,nan,261040000.00000003,7.7,276700000.0,55.39,1.6,14.73,-61070000.0,72500000.0,0.07,33900000.0,nan,nan,nan,nan,nan,0.0
AMAL,Amalgamated Bank,Consumer Non-Durables,Textiles,2018,15.8,496286000.0,10.64,9.61,nan,2.67,1.05,3.69,nan,25.51,31.07,0.99,10.76,185780000.0,5.84,nan,178320000.0,nan,1.46,-3.5,105890000.0,3.32,294310000.0,nan,nan,14.89,nan,nan,nan,31870000.0,0.24,1.49,0.12,0.77,nan,12.24
AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals,n/a,14.9,5765000000.0,nan,161.4,-3.21,18.8,42.03,18.4,-71.79,-27.51,-25.85,-16.68,-164.83,306720000.0,0.97,nan,174670000.0,-78610000.0,-0.27,nan,221770000.0,0.62,77900000.0,52.25,2.01,0.38,-82640000.0,-53840000.0,0.63,357210000.0,nan,nan,nan,nan,nan,0.0
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores,n/a,14.1,99565000.0,nan,21.13,nan,0.02,1.42,0.11,145.45,0.0,0.03,0.14,-0.04,5700000000.0,810.61,nan,29440000.0,4190000.0000000005,0.0,nan,4750000.0,0.68,512090000.00000006,701.05,1.25,9.99,13680000.0,37630000.0,0.0,7030000.0,0.32,2.71,0.0,0.0,nan,nan
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,n/a,18.48,852265000.0,nan,26.73,0.45,2.17,0.57,26.96,25.32,-75.42,25.32,0.34,-16.36,392380000.0,8.56,nan,731760000.0,417910000.0,-6.46,nan,861970000.0,18.92,10530000000.0,678.08,0.79,32.78,-496540000.0,-657610000.0,0.97,45550000.0,nan,nan,nan,nan,nan,0.0
AMBA,"Ambarella, Inc.",Technology,Semiconductors,2012,58.1,1935000000.0,nan,93.81,7.77,9.13,4.53,7.3,-31.99,-19.37,-24.74,-6.68,-9.53,211950000.0,6.54,nan,138140000.0,-48370000.0,-1.27,nan,375800000.0,11.44,7360000.0,1.72,9.01,13.04,nan,nan,1.52,32740000.000000004,nan,nan,nan,nan,nan,0.0
AMCX,AMC Networks Inc.,Consumer Services,Television Services,n/a,47.25,2628000000.0,5.98,5.34,1.05,0.87,4.86,1.85,5.89,15.04,28.06,9.98,72.5,3030000000.0,53.39,nan,1580000000.0,948390000.0,7.89,21.2,706340000.0,12.69,3370000000.0,386.28,2.65,9.72,616910000.0,1440000000.0,1.06,44160000.0,nan,nan,nan,nan,nan,0.0
DOX,Amdocs Limited,Technology,EDP Services,n/a,65.06,8821000000.0,22.49,14.08,2.48,2.17,2.53,2.07,11.08,9.9,13.54,6.43,11.33,4059999999.9999995,29.25,nan,1380000000.0,758470000.0,2.89,43.6,457710000.0,3.37,nan,nan,1.39,25.65,558100000.0,353550000.0,0.28,135890000.0,1.14,1.76,1.07,1.66,1.35,36.9
AMED,Amedisys Inc,Health Care,Medical/Nursing Services,n/a,130.37,4230000000.0000005,34.87,28.71,2.18,2.33,7.52,2.53,25.42,6.84,9.13,10.55,25.69,1810000000.0,56.7,nan,669720000.0,180010000.0,3.77,1.2,13900000.0,0.43,357660000.0,63.53,0.88,17.49,211840000.0,189040000.0,1.31,32170000.0,nan,nan,nan,nan,nan,0.0
